time_index,air_temperature_C,relative_humidity_percent,wind_speed_kmh,presion_hPa,hour,target_temp
2023-01-01 00:00:00,15.1,96,4.3,994.8,0,14.2
2023-01-01 01:00:00,14.2,96,4.5,994.7,1,14.6
2023-01-01 02:00:00,14.6,91,6.6,994.3,2,14.6
2023-01-01 03:00:00,14.6,90,5.7,994.2,3,13.9
2023-01-01 04:00:00,13.9,94,5.9,994.3,4,13.4
2023-01-01 05:00:00,13.4,95,5.1,994.3,5,13.6
2023-01-01 06:00:00,13.6,94,8.1,994.9,6,14.9
2023-01-01 07:00:00,14.9,88,12.3,995.5,7,16.9
2023-01-01 08:00:00,16.9,81,6.8,995.7,8,19.1
2023-01-01 09:00:00,19.1,73,7.9,995.9,9,21.5
2023-01-01 10:00:00,21.5,63,5.9,995.9,10,23.5
2023-01-01 11:00:00,23.5,55,4.6,995.6,11,25.4
2023-01-01 12:00:00,25.4,48,6.9,995.6,12,26.5
2023-01-01 13:00:00,26.5,42,9.4,995.6,13,27.4
2023-01-01 14:00:00,27.4,37,8.4,995.0,14,28.1
2023-01-01 15:00:00,28.1,31,7.6,994.6,15,28.4
2023-01-01 16:00:00,28.4,27,6.6,994.1,16,28.5
2023-01-01 17:00:00,28.5,26,6.4,993.5,17,27.8
2023-01-01 18:00:00,27.8,27,7.8,993.1,18,25.7
2023-01-01 19:00:00,25.7,35,10.9,992.9,19,21.8
2023-01-01 20:00:00,21.8,43,11.6,993.0,20,19.8
2023-01-01 21:00:00,19.8,47,8.2,993.4,21,19.1
2023-01-01 22:00:00,19.1,52,11.0,993.9,22,18.5
2023-01-01 23:00:00,18.5,57,12.1,994.3,23,17.3
2023-01-02 00:00:00,17.3,63,12.6,994.0,0,16.2
2023-01-02 01:00:00,16.2,69,13.6,993.2,1,15.1
2023-01-02 02:00:00,15.1,75,13.2,992.8,2,14.1
2023-01-02 03:00:00,14.1,81,10.9,992.7,3,13.3
2023-01-02 04:00:00,13.3,87,9.0,992.6,4,12.6
2023-01-02 05:00:00,12.6,92,7.6,992.8,5,12.2
